Title,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Identifier,XML,Image 1,Image 2,Image 3,Image 4,Image 5
1057: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Sammatti,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.6.1865,SKS,SKS,19:212,1057,http://localhost/uploads/1057_S._G._Elmgren.xml,http://localhost/uploads/lnak019_212a_f.jpg,http://localhost/uploads/lnak019_212b_f.jpg,,,
1574: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Laucko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,15.7.1841,SKS,SKS,657:64:1,1574,http://localhost/uploads/1574_M._A._Castren.xml,http://localhost/uploads/lnak657_064_001a_f.jpg,http://localhost/uploads/lnak657_064_001b_f.jpg,http://localhost/uploads/lnak657_064_001c_f.jpg,,
1575: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Vyjtegra,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.8.1842,SKS,SKS,657:64:2,1575,http://localhost/uploads/1575_M._A._Castren.xml,http://localhost/uploads/lnak657_064_002a_f.jpg,http://localhost/uploads/lnak657_064_002b_f.jpg,http://localhost/uploads/lnak657_064_002c_f.jpg,,
1576: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,11.8.1843,SKS,SKS,657:64:4,1576,http://localhost/uploads/1576_M._A._Castren.xml,http://localhost/uploads/lnak657_064_004a_f.jpg,http://localhost/uploads/lnak657_064_004b_f.jpg,http://localhost/uploads/lnak657_064_004c_f.jpg,http://localhost/uploads/lnak657_064_004d_f.jpg,
1577: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,20.6.1845,SKS,SKS,657:64:5,1577,http://localhost/uploads/1577_M._A._Castren.xml,http://localhost/uploads/lnak657_064_005a_f.jpg,http://localhost/uploads/lnak657_064_005b_f.jpg,http://localhost/uploads/lnak657_064_005c_f.jpg,http://localhost/uploads/lnak657_064_005d_f.jpg,
1578: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,30.10.1845,SKS,SKS,657:64:7,1578,http://localhost/uploads/1578_M._A._Castren.xml,http://localhost/uploads/lnak657_064_007a_f.jpg,http://localhost/uploads/lnak657_064_007b_f.jpg,http://localhost/uploads/lnak657_064_007c_f.jpg,http://localhost/uploads/lnak657_064_007d_f.jpg,
1579: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,22.11.1845,SKS,SKS,657:64:8,1579,http://localhost/uploads/1579_M._A._Castren.xml,http://localhost/uploads/lnak657_064_008a_f.jpg,http://localhost/uploads/lnak657_064_008b_f.jpg,,,
1580: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,12.1.1846,SKS,SKS,657:64:9,1580,http://localhost/uploads/1580_M._A._Castren.xml,http://localhost/uploads/lnak657_064_009a_f.jpg,http://localhost/uploads/lnak657_064_009b_f.jpg,http://localhost/uploads/lnak657_064_009c_f.jpg,http://localhost/uploads/lnak657_064_009d_f.jpg,
1581: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,8.2.1846,SKS,SKS,657:64:10,1581,http://localhost/uploads/1581_M._A._Castren.xml,http://localhost/uploads/lnak657_064_010a_f.jpg,http://localhost/uploads/lnak657_064_010b_f.jpg,http://localhost/uploads/lnak657_064_010c_f.jpg,,
1582: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,14.4.1846,SKS,SKS,657:64:11,1582,http://localhost/uploads/1582_M._A._Castren.xml,http://localhost/uploads/lnak657_064_011a_f.jpg,http://localhost/uploads/lnak657_064_011b_f.jpg,http://localhost/uploads/lnak657_064_011c_f.jpg,,
1583: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,"22.8.1846Tiedossa kaksi päiväystä, toinen näistä 6.6.1846",SKS,SKS,657:64:12,1583,http://localhost/uploads/1583_M._A._Castren.xml,http://localhost/uploads/lnak657_064_012a_f.jpg,http://localhost/uploads/lnak657_064_012b_f.jpg,http://localhost/uploads/lnak657_064_012c_f.jpg,http://localhost/uploads/lnak657_064_012d_f.jpg,
1584: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.6.1847,SKS,SKS,657:64:13,1584,http://localhost/uploads/1584_M._A._Castren.xml,http://localhost/uploads/lnak657_064_013a_f.jpg,http://localhost/uploads/lnak657_064_013b_f.jpg,http://localhost/uploads/lnak657_064_013c_f.jpg,http://localhost/uploads/lnak657_064_013d_f.jpg,
1585: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Laucko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,24.3.1849,SKS,SKS,657:64:14,1585,http://localhost/uploads/1585_M._A._Castren.xml,http://localhost/uploads/lnak657_064_014a_f.jpg,http://localhost/uploads/lnak657_064_014b_f.jpg,http://localhost/uploads/lnak657_064_014c_f.jpg,http://localhost/uploads/lnak657_064_014d_f.jpg,
1586: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Laucko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,18.4.1849,SKS,SKS,657:64:15,1586,http://localhost/uploads/1586_M._A._Castren.xml,http://localhost/uploads/lnak657_064_015a_f.jpg,http://localhost/uploads/lnak657_064_015b_f.jpg,http://localhost/uploads/lnak657_064_015c_f.jpg,http://localhost/uploads/lnak657_064_015d_f.jpg,
1587: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,10.6.1849,SKS,SKS,657:64:15,1587,http://localhost/uploads/1587_M._A._Castren.xml,http://localhost/uploads/lnak657_064_016a_f.jpg,http://localhost/uploads/lnak657_064_016b_f.jpg,http://localhost/uploads/lnak657_064_016c_f.jpg,http://localhost/uploads/lnak657_064_016d_f.jpg,
1588: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,9.8.1849,SKS,SKS,657:64:17,1588,http://localhost/uploads/1588_M._A._Castren.xml,http://localhost/uploads/lnak657_064_017a_f.jpg,http://localhost/uploads/lnak657_064_017b_f.jpg,http://localhost/uploads/lnak657_064_017c_f.jpg,http://localhost/uploads/lnak657_064_017d_f.jpg,
1589: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,13.9.1849,SKS,SKS,657:64:18,1589,http://localhost/uploads/1589_M._A._Castren.xml,http://localhost/uploads/lnak657_064_018a_f.jpg,http://localhost/uploads/lnak657_064_018b_f.jpg,http://localhost/uploads/lnak657_064_018c_f.jpg,http://localhost/uploads/lnak657_064_018d_f.jpg,
1590: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,22.12.1849,SKS,SKS,657:64:19,1590,http://localhost/uploads/1590_M._A._Castren.xml,http://localhost/uploads/lnak657_064_019a_f.jpg,http://localhost/uploads/lnak657_064_019b_f.jpg,http://localhost/uploads/lnak657_064_019c_f.jpg,,
1592: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.7.1851,SKS,SKS,657:64:21,1592,http://localhost/uploads/1592_M._A._Castren.xml,http://localhost/uploads/lnak657_064_021a_f.jpg,http://localhost/uploads/lnak657_064_021b_f.jpg,,,
1683: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Laukko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,31.3.1849,SKS,SKS,19:204,1683,http://localhost/uploads/1683_S._G._Elmgren.xml,http://localhost/uploads/lnak019_204a_f.jpg,http://localhost/uploads/lnak019_204b_f.jpg,,,
1692: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,14.4.1850,SKS,SKS,657:64:20,1692,http://localhost/uploads/1692_M._A._Castren.xml,http://localhost/uploads/lnak657_064_020a_f.jpg,http://localhost/uploads/lnak657_064_020b_f.jpg,http://localhost/uploads/lnak657_064_020c_f.jpg,http://localhost/uploads/lnak657_064_020d_f.jpg,
1702: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,18.1.1851,SKS,SKS,19:208,1702,http://localhost/uploads/1702_S._G._Elmgren.xml,http://localhost/uploads/lnak019_208a_f.jpg,http://localhost/uploads/lnak019_208b_f.jpg,,,
2004: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,11.8.1843,SKS,SKS,Lna 80,2004,http://localhost/uploads/2004_M._A._Castren.xml,http://localhost/uploads/lna080_119_f.jpg,http://localhost/uploads/lna080_120_f.jpg,,,
2007: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,0.1.1850,SKS,SKS,Lna 81,2007,http://localhost/uploads/2007_M._A._Castren.xml,http://localhost/uploads/lna081_080_f.jpg,,,,
2008: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,10.6.1849,SKS,SKS,Lna 81,2008,http://localhost/uploads/2008_M._A._Castren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,
2009: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,10.8.1849,SKS,SKS,Lna 81,2009,http://localhost/uploads/2009_M._A._Castren.xml,http://localhost/uploads/lna081_079_f.jpg,,,,
2010: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,12.7.1839,SKS,SKS,Lna 80,2010,http://localhost/uploads/2010_M._A._Castren.xml,http://localhost/uploads/lna080_067_f.jpg,,,,
2011: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,13.9.1849,SKS,SKS,Lna 81,2011,http://localhost/uploads/2011_M._A._Castren.xml,http://localhost/uploads/lna081_079_f.jpg,,,,
2012: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,14.4.1850,SKS,SKS,Lna 81,2012,http://localhost/uploads/2012_M._A._Castren.xml,http://localhost/uploads/lna081_081_f.jpg,,,,
2013: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,24.3.1849,SKS,SKS,Lna 81,2013,http://localhost/uploads/2013_M._A._Castren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,
2014: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,20.4.1849,SKS,SKS,Lna 81,2014,http://localhost/uploads/2014_M._A._Castren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,
2015: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,25.12.1849,SKS,SKS,Lna 81,2015,http://localhost/uploads/2015_M._A._Castren.xml,http://localhost/uploads/lna081_080_f.jpg,,,,
2016: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,31.1.1849,SKS,SKS,Lna 81,2016,http://localhost/uploads/2016_M._A._Castren.xml,http://localhost/uploads/lna081_077_f.jpg,,,,
2017: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,14.4.1850,SKS,SKS,Lna 81,2017,http://localhost/uploads/2017_S._G._Elmgren.xml,http://localhost/uploads/lna081_081_f.jpg,,,,
2018: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,15.3.1848,SKS,SKS,Lna 81,2018,http://localhost/uploads/2018_S._G._Elmgren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,
2019: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,17.9.1853,SKS,SKS,19:210,2019,http://localhost/uploads/2019_S._G._Elmgren.xml,http://localhost/uploads/lnak019_210a_f.jpg,,,,
2020: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,18.11.1849,SKS,SKS,Lna 81,2020,http://localhost/uploads/2020_S._G._Elmgren.xml,http://localhost/uploads/lna081_080_f.jpg,,,,
2021: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Laukko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,31.3.1849,SKS,SKS,Lna 81,2021,http://localhost/uploads/2021_S._G._Elmgren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,
260: Elias Lönnrot > Frans Johan Rabbe,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,16.5.1835,SKS,SKS,Lna 79,260,http://localhost/uploads/260_F._J._Rabbe.xml,http://localhost/uploads/lna079_080_f.jpg,http://localhost/uploads/lna079_081_f.jpg,,,
300: Elias Lönnrot > Frans Johan Rabbe,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,23.10.1835,SKS,SKS,20:54,300,http://localhost/uploads/300_F._J._Rabbe.xml,http://localhost/uploads/lnak020_054a_f.jpg,http://localhost/uploads/lnak020_054b_f.jpg,http://localhost/uploads/lnak020_054c_f.jpg,,
352: Elias Lönnrot > Frans Johan Rabbe,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.5.1836,SKS,SKS,20:59,352,http://localhost/uploads/352_F._J._Rabbe.xml,http://localhost/uploads/lnak020_059a_f.jpg,http://localhost/uploads/lnak020_059b_f.jpg,http://localhost/uploads/lnak020_059c_f.jpg,,
728: Elias Lönnrot > Matthias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.6.1847,SKS,SKS,Lna 81,728,http://localhost/uploads/728_M._A._Castren.xml,http://localhost/uploads/lna081_026_f.jpg,http://localhost/uploads/lna081_027_f.jpg,,,
926: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,8.9.1849,SKS,SKS,19:206,926,http://localhost/uploads/926_S.G._Elmgren.xml,http://localhost/uploads/lnak019_206a_f.jpg,http://localhost/uploads/lnak019_206b_f.jpg,,,
927: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,18.11.1849,SKS,SKS,19:205,927,http://localhost/uploads/927_S.G._Elmgren.xml,http://localhost/uploads/lnak019_205a_f.jpg,http://localhost/uploads/lnak019_205b_f.jpg,,,
941: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,14.4.1850,SKS,SKS,19:207,941,http://localhost/uploads/941_S.G._Elmgren.xml,http://localhost/uploads/lnak019_207a_f.jpg,http://localhost/uploads/lnak019_207b_f.jpg,,,
968: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,7.9.1851,SKS,SKS,19:209,968,http://localhost/uploads/968_S.G._Elmgren.xml,http://localhost/uploads/lnak019_209a_f.jpg,http://localhost/uploads/lnak019_209b_f.jpg,,,
